epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.8736,1.23952,1.54631,1.09999,0.99624,0.98907,0.99495,0.69981,1.05245,0.57674,0.90724,0.000664294,0.000664294,0.000664294
2,183.918,1.09361,0.74027,1.01853,0.99779,0.99063,0.99497,0.70058,1.02276,0.49043,0.90027,0.00130461,0.00130461,0.00130461
3,268.754,1.08343,0.63631,1.02227,0.99718,0.98773,0.9949,0.71051,1.06852,0.4911,0.88588,0.00191852,0.00191852,0.00191852
4,351.788,1.04701,0.58279,1.00741,0.99902,0.99643,0.995,0.74252,0.92551,0.44051,0.87092,0.0018812,0.0018812,0.0018812
5,435.485,1.01937,0.54163,1.00206,0.99902,0.99643,0.995,0.74759,0.9413,0.42763,0.86972,0.0018416,0.0018416,0.0018416
6,520.926,0.99842,0.51657,0.99414,0.99749,0.99331,0.99499,0.7558,0.8978,0.47511,0.87049,0.001802,0.001802,0.001802
7,612.94,0.99666,0.50599,0.99052,0.99982,0.99755,0.995,0.7504,0.91551,0.44282,0.8862,0.0017624,0.0017624,0.0017624
8,704.901,0.96436,0.48465,0.97921,0.99978,0.99894,0.995,0.76613,0.89012,0.4077,0.85913,0.0017228,0.0017228,0.0017228
9,790.839,0.95647,0.48232,0.97522,0.99975,0.99732,0.995,0.77404,0.86861,0.39487,0.85258,0.0016832,0.0016832,0.0016832
10,879.417,0.94828,0.48055,0.97676,0.99994,0.99799,0.995,0.78563,0.85556,0.37886,0.83818,0.0016436,0.0016436,0.0016436
11,967.296,0.94409,0.4493,0.97419,0.99978,0.99735,0.995,0.77856,0.86694,0.37688,0.85785,0.001604,0.001604,0.001604
12,1056.03,0.92446,0.44489,0.96681,0.99969,0.99777,0.995,0.77911,0.86454,0.37875,0.82542,0.0015644,0.0015644,0.0015644
13,1145.42,0.9226,0.43578,0.96272,0.99927,0.99866,0.995,0.78747,0.88595,0.35176,0.82978,0.0015248,0.0015248,0.0015248
14,1239.51,0.92038,0.43472,0.96047,1,0.99887,0.995,0.79425,0.86427,0.34204,0.81875,0.0014852,0.0014852,0.0014852
15,1324.53,0.90184,0.42343,0.95309,1,0.9986,0.995,0.78923,0.8485,0.35521,0.8258,0.0014456,0.0014456,0.0014456
16,1403.59,0.91039,0.41886,0.95558,1,0.99925,0.995,0.78645,0.83536,0.34609,0.82004,0.001406,0.001406,0.001406
17,1485.42,0.8867,0.40846,0.94986,0.99978,0.99908,0.995,0.79837,0.82803,0.33647,0.81905,0.0013664,0.0013664,0.0013664
18,1565.91,0.88709,0.41261,0.94786,0.99997,0.99933,0.995,0.79992,0.83157,0.34293,0.81697,0.0013268,0.0013268,0.0013268
19,1649.25,0.8871,0.40585,0.94527,0.99975,0.99911,0.995,0.80463,0.81933,0.32904,0.81314,0.0012872,0.0012872,0.0012872
